127.0.0.1 - - [06/Aug/2023:14:42:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:42:50 +0900] "GET /Pplan/home/images/pic08.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:42:50 +0900] "GET /Pplan/home/images/pic06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:42:50 +0900] "GET /Pplan/home/images/pic09.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:42:50 +0900] "GET /Pplan/home/images/header.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:42:50 +0900] "GET /Pplan/home/assets/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:42:50 +0900] "GET /Pplan/home/assets/css/images/arrow.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:42:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:42:51 +0900] "GET /Pplan/home/login/login.jsp HTTP/1.1" 200 11054
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:42:51 +0900] "GET /Pplan/home/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:42:51 +0900] "GET /Pplan/home/login/left.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:42:51 +0900] "GET /Pplan/home/login/kakao_login_medium_wide.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:43:00 +0900] "POST /Pplan/LoginService HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:43:00 +0900] "GET /Pplan/home/main.jsp HTTP/1.1" 200 10470
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:43:02 +0900] "GET /Pplan/home/menu_myPage.jsp HTTP/1.1" 200 15852
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:43:02 +0900] "GET /Pplan/home/ham.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:43:02 +0900] "GET /Pplan/home/tin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:47:00 +0900] "GET /Pplan/home/menu_myPage.jsp HTTP/1.1" 200 15852
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:47:01 +0900] "GET /Pplan/home/menu_myPage.jsp HTTP/1.1" 200 15852
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:51:07 +0900] "GET /Pplan/home/menu_myPage.jsp HTTP/1.1" 200 15852
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:51:09 +0900] "GET /Pplan/home/main.jsp HTTP/1.1" 200 10470
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:51:23 +0900] "GET /Pplan/home/menu_myPage.jsp HTTP/1.1" 200 15852
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:52:21 +0900] "GET /Pplan/home/assets/css/images/overlay.png HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:52:21 +0900] "GET /Pplan/home/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:54:50 +0900] "GET /Pplan/home/menu_myPage.jsp HTTP/1.1" 200 15874
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:55:07 +0900] "GET /Pplan/home/assets/css/images/overlay.png HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:58:14 +0900] "GET /Pplan/home/menu_myPage.jsp HTTP/1.1" 200 15877
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:59:19 +0900] "GET /Pplan/home/menu_myPage.jsp HTTP/1.1" 200 15877
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:59:24 +0900] "GET /Pplan/home/main.jsp HTTP/1.1" 200 10470
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:59:25 +0900] "GET /Pplan/home/menu_myPage.jsp HTTP/1.1" 200 15877
